bfvd_entry	accession	virus_taxid	virus_name	host_taxid	host_name	host_bucket
A0A8T8L6B9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6B9	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6C0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A8T8L6C0	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6E6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L6E6	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6H2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L6H2	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6H4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6H4	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6J2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L6J2	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6M1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6M1	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6N2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6N2	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
A0A8T8L6P0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L6P0	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
A0A8T8L6P2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L6P2	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
A0A8T8L6P6_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A8T8L6P6	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
A0A8T8L6P7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6P7	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
A0A8T8L6P9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6P9	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
A0A8T8L6Q0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6Q0	2811509	Escherichia phage UPEC06	562	Escherichia coli	bacteria
