2847775	Bacteria	Atribacterales	cellular organisms;Bacteria;Pseudomonadati;Atribacterota;Atribacteria;Atribacterales
3120400	Bacteria	Azospirillales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Azospirillales
2024979	Bacteria	Bacteriovoracales	cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales
171549	Bacteria	Bacteroidales	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales
1100071	Bacteria	Bacteroidota Order IV. Incertae sedis	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidota Order IV. Incertae sedis
1853223	Bacteria	Balneolales	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Balneolota;Balneolia;Balneolales
213481	Bacteria	Bdellovibrionales	cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales
85004	Bacteria	Bifidobacteriales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales
1748771	Bacteria	Blastocatellales	cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales
3120401	Bacteria	Borreliales	cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Borreliales
1643686	Bacteria	Brachyspirales	cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Brachyspirales
1779134	Bacteria	Bradymonadales	cellular organisms;Bacteria;delta/epsilon subdivisions;Deltaproteobacteria;Bradymonadales
1643687	Bacteria	Brevinematales	cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Brevinematales
332160	Bacteria	Bryobacterales	cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales
3712283	Bacteria	Bungeriellales (SeqCode)	cellular organisms;Bacteria;Bacillati;Actinomycetota;Candidatus Aridivitia;Bungeriellales (SeqCode)
80840	Bacteria	Burkholderiales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales
3120403	Bacteria	Caldalkalibacillales	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caldalkalibacillales
3071001	Bacteria	Caldicellulosiruptorales	cellular organisms;Bacteria;Bacillati;Bacillota;Bacillota incertae sedis;Caldicellulosiruptorales
3120405	Bacteria	Caldicoprobacterales	cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Caldicoprobacterales
475963	Bacteria	Caldilineales	cellular organisms;Bacteria;Bacillati;Chloroflexota;Caldilineae;Caldilineales
693072	Bacteria	Caldisericales	cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Caldisericota;Caldisericia;Caldisericales
1962852	Bacteria	Calditrichales	cellular organisms;Bacteria;Pseudomonadati;Calditrichota;Calditrichia;Calditrichales
213849	Bacteria	Campylobacterales	cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales
2900568	Bacteria	Candidatus Absconditabacterales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Absconditibacteriota;Candidatus Absconditabacterales
2817523	Bacteria	Candidatus Acidiferrales	cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Candidatus Acidiferrales
2597219	Bacteria	Candidatus Acidulidesulfobacterales	cellular organisms;Bacteria;delta/epsilon subdivisions;Deltaproteobacteria;Candidatus Acidulidesulfobacterales
